Title;Authors;Year;Journal;DOI, if applicable;kind of journal?;Species;Order Species;Family Species;Status species (local/mentioned by paper) pest, endangered,...;pest or not?;Status IUCN;Where?;Region;region (Tropical, Temperate, Boreal,...);estimate of body length (mm);Flying/crawling/aquatic;Kind of tag (RFID, radio, harmonic);where was the tag attached;ventral/dorsal/internal;Study field;Estimation of amount of individuals tagged;What kind of experiment?;Tag only certain group? (larger females, only large ones);Duration of tagging;Do they take the tag of again?;Mention mass species/individuals yes/no;Mean mass individual or species in g;Mention mass tag yes/no;Mean mass tag in mg;Mention mass ratio yes/no;Mean ratio percent;Mention/discuss possible impact yes/no;Impact yes/no?;How impact is discussed or measured;Quantification of impact? yes/no;Say more research is needed to assess impact or not able to assess the impact themselves;Comments;
Use of Radio Telemetry for Studying Flight Movements of Paysandisia archon (Lepidoptera: Castniidae);Liegeois et al;2016;Journal of Insect Behaviour;10.1007/s10905-016-9554-4;WoS;Paysandisia archon;Lepidoptera;Castniidae;Invasive, pest;pest;NE;Maguelone Peninsula, South France, Europe;Europe;Mediterranean;100;Flying;radio telemetry;prothorax;dorsal;movement;11;natural field conditions;freshly emerged individuals;2-3 days, until they died or out of range;not mentioned;yes;2.66;yes;270;yes;10.5;yes;maybe;normal behaviour in wind tunnel + more predation;no;no;;
Design of an harmonic radar for the tracking of the Asian yellow-legged hornet;Milanesio et al;2016;Ecology and Evolution;10.1002/ece3.2011;WoS;Vespa velutina;Hymenoptera;Vespidae;NA;pest;NE;Dolceacqua, Italy, Europe;Europe;Temperate;20;Flying;scanning harmonic radar;thorax;dorsal;locating nests;NA;natural field conditions;workers;not mentiond but at least 2 days;not mentioned;no;NA;yes;12;no;NA;no;NA;NA;no;no;;
Establishing the behavioral basis for an attract-and-kill strategy to manage the invasive Halyomorpha halys in apple orchards;Morrison et el;2016;Journal of pest science;10.1007/s10340-015-0679-6;WoS;Halyomorpha halys;Hemiptera;Pentatomidae;invasive species, agricultural pest;pest;NE;West-Virginia, USA;North America;Temperate;17;crawling + Flying;portable harmonic radar;pronotum;dorsal;testing techique;NA;field experiment;no;24h;not mentioned;no;NA;no;NA;no;NA;yes;no;refer;no;no;Refer to Lee et al. (2013) and Boiteau et al. (2010).;
Using radio telemetry to track ground beetles: Movement of Carabus ullrichii;Ruzickova and Vesely;2016;Biologia;10.1515/biolog-2016-0108;WoS;Carabus ulrichii;Coleoptera;Carabidae;widely distributed;0;NE;Jarcova, Czech Republic, Europe;Europe;Temperate;28;crawling;radio telemetry;elytra;dorsal;movement;4;natural field conditions;no;10 days (but some got lost), mention explicitly they released them from the transmitter;yes;yes;1.13;yes;280;yes;25.1;yes;no;refer + normal behaviour;no;no;;
"
Loss of safety in numbers and a novel driver of mass migration: radiotelemetry reveals heavy wasp predation on a band of Mormon crickets";Srygley et al;2016;Royal Society open science;10.1098/rsos.160113;WoS;Anabrus simplex;Orthoptera;Tettigoniidae;ecological and economic importance of mass migrating Mormon crickets;pest;NE;Furnar Valley, Utah, USA;North America;Arid;80;crawling + hopping;radio telemetry;pronotum;dorsal;behaviour;75;natural field conditions;no;24h;not mentioned, but most likely yes;no;NA;yes;400;no;NA;yes;no;refer;no;no;Refer to Lorch et al (2005) and Srygley (2009);
"Viral Infection Affects Sucrose Responsiveness and
Homing Ability of Forager Honey Bees, Apis mellifera L.";Li et al;2013;PLOS One;10.1371/journal.pone.0077354;WoS;Apis mellifera;Hymenoptera;Apidae;vital role in global food production and economy;0;DD;Northern Zhejiang province, China;Asia;Temperate;12.5;Flying;RFID;thorax;dorsal;disease effect;180;apiary;foragers;about 4 days;no;no;NA;no;NA;no;NA;no;NA;established protocol;no;no;;
Sneaky queens in Melipona bees selectively detect and infiltrate queenless colonies;Van Oystaeyen et al;2013;Animal Behaviour;10.1016/j.anbehav.2013.07.001;WoS;Melipona scutellaris;Hymenoptera;Apidae;NA;0;NE;Sao Paulo, Brasil, South-America;South America;Tropical;11;Flying;RFID;thorax;dorsal;behaviour;520;apiary;newly emerged queens;2 months;not mentioned, but most likely no;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Honey Bees' Behavior Is Impaired by Chronic Exposure to the Neonicotinoid Thiacloprid in the field;Tison et al;2016;Environmental Science & Technology;10.1021/acs.est.6b02658;WoS;Apis mellifera;Hymenoptera;Apidae;not mentioned;0;DD;Grossseelheim, Germany, Europe;Europe;Temperate;12.5;Flying;scanning harmonic radar;thorax;dorsal;pesticide effect;185;apiary;workers;less than a day;not mentioned;no;NA;no;NA;no;NA;yes;no;established protocol;no;no;Refer to Degen et al (2015) and Capaldi et al (2000), and Riley et al. (1996);
Radio Frequency Identification and Motion-sensitive Video Efficiently Automate Recording of Unrewarded Choice Behavior by Bumblebees;Orban et al;2014;jove;10.3791/52033;WoS;Bombus impatiens;Hymenoptera;Apidae;Commercial colony;0;LC;Ottowa, Canada;North America;Temperate;12;Flying;RFID;thorax;dorsal;behaviour;375;commercial nest in lab arena;no;3 sessions (= 3 days?);not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Optimal search patterns in honeybee orientation flights are robust against emerging infectious diseases;Wolf et al;2016;Scientific Reports;10.1038/srep32612;WoS;Apis mellifera;Hymenoptera;Apidae;economically important;0;DD;Rothamsted Farm, UK;Europe;Temperate;12.5;Flying;scanning harmonic radar;thorax;dorsal;disease effect;78;apiary;workers;"""first flight in a novel landscape""";not mentioned;no;NA;no;NA;no;NA;no;NA;refer;no;no;Refer to Wolf et al. (2012);
Life-Long Radar Tracking of Bumblebees;Woodgate et al;2016;PLOS One;10.1371/journal.pone.0160333;WoS;Bombus terrestris;Hymenoptera;Apidae;NA;0;LC;Hertfordshire, UK, Europe;Europe;Temperate;14;Flying;scanning harmonic radar;thorax;dorsal;movement;4;commercial nest in field;workers;6 - 15 days / bee (only study that I know that left on harmonic radar tags for duration of tracking);not mentioned, but most likely no;yes;0.19;yes;15;yes;9;yes;no;refer + reasoning;no;no;Refer to Osborne et al. (1999);
Importance of the antenniform legs, but not vision, for homing by the neotropical whip spider Paraphrynus laevifrons;Bingman et al;2017;Journal of Experimental Biology;10.1242/jeb.149823;WoS;Paraphrynus laevifrons;Amblypygi;Phrynidae;not mentioned;0;NE;La Suerte Biological field Station, Cariari, Costa Rica, Central America;Central America;Tropical;26;crawling;radio telemetry;cephalothorax (posterior prosoma);dorsal;movement;28;natural field conditions;no gravid females included;1-5 days;not mentioned, but most likely yes;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Measuring host plant selection and retention of Halyomorpha halys by a trap crop;Blaauw et al;2017;Entomologia Experimentalis et Applicata;10.1111/eea.12571;WoS;Halyomorpha halys;Hemiptera;Pentatomidae;pest/invasive;pest;NE;Inwood (West-Virginia), USA;North America;Temperate;17;crawling + Flying;portable harmonic radar;pronotum;dorsal;management invasive species;80;field experiment;not mentioned in article;2 days (24h actual tracking, 24h prior to release tagged);not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;Refer to Weber et al (2014);
Rapid behavioral maturation accelerates failure of stressed honey bee colonies;Perry et al;2015;PNAS;10.1073/pnas.1610243113;WoS;Apis mellifera;Hymenoptera;Apidae;colony failure;0;DD;Sydney, Australia;Australia;subtropical;12.5;Flying;RFID;dorsal thorax;dorsal;disease effect;3000;apiary;foragers;40 days: lifetime;not mentioned, but most likely no;no;NA;no;NA;no;NA;no;NA;refer;no;no;Refer to He (2013) and Molet (2008) and Streit (2003);
Recording the movement of adult vine weevil within strawberry crops using radio frequency identification tags;Pope et al;2015;Journal of Berry Research;10.3233/JBR-150102;WoS;Otiorhynchus sulcatus;Coleoptera;Curculionidae;agricultural pest;pest;NE;Harper Adams University, UK, europe;Europe;Temperate;10;crawling;RFID;elytra;dorsal;movement;30;lab arena and field experiment;no;21 days (survival experiment) - 24h (movement experiment) - 35 days (field test);not mentioned;no;NA;no;NA;no;NA;yes;maybe;BA;yes;no;Comparing in lab study 30 tagged (15+15 with two types of glue) with 15 control animals in lab for speed (time taken for an individual to cover a distance of 10 cm was recorded.), vertical speed and survival (21 days);
Impact of active and passive radio tags on the flying and burrowing behavior of the red palm weevil, Rhynchophorus ferrugineus (Coleoptera: Dryophthoridae);Hamidi et al;2017;Applied Entomology and Zoology;10.1007/s13355-016-0464-x;WoS;Rhynchophorus ferrugineus;Coleoptera;Dryophthoridae;invasive;pest;NE;Var, France, Europe;Europe;Temperate;28;Flying;radio telemetry + RFID;pronotum;dorsal;testing techique;25;lab arena;no;max 14 days;not mentioned;yes;1.00;yes;32,9 + 170;yes;12.405;yes;no RFID, yes radio tags;normal behaviour;no;no;;
Recent upgrades of the harmonic radar for the tracking of the Asian yellow-legged hornet;Milanesio et al;2017;Ecology and Evolution;10.1002/ece3.3053;WoS;Vespa velutina;Hymenoptera;Vespidae;NA;pest;NE;Dolceacqua, Italy, Europe;Europe;Temperate;20;Flying;scanning harmonic radar;thorax;dorsal;development;NA;natural field conditions;workers;reports 1 day (but 40 triales);not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Judas Beetles: Discovering Cryptic Breeding Sites by Radio-Tracking Coconut Rhinoceros Beetles, Oryctes rhinoceros (Coleoptera: Scarabaeidae);Moore et al;2017;Environmental Entomology;10.1093/ee/nvw152;WoS;Oryctes rhinoceros;Coleoptera;Scarabaeidae;pest/invasive;pest;NE;Yigo and Asan, Guam, Mariana islands, Micronesia;Micronesia;Tropical;50;Climbing + Flying;radio telemetry;pronotum;dorsal;behaviour;34;natural field conditions;no;Several days (max 6), removed if possible;yes;no;NA;yes;300;yes;13.175;yes;no;normal behaviour;no;no;;
"
Adult tiger spiketail (Cordulegaster erronea Hagen) habitat use and home range observed via radio-telemetry with conservation recommendations
";Moskowitz et al;2017;Journal of Insect Conservation;10.1007/s10841-017-0027-7;WoS;Cordulegaster erronea;Odonata;Cordulegastridae;Endangered ;0;LC;New Jersey, USA;North America;Temperate;80;Flying;radio telemetry;ventral thorax;ventral;movement;7;natural field conditions;no;3-17 days, until signal stopped and not retrieved (mean 8.25 days);no;yes;0.55;no;NA;no;NA;yes;maybe;normal behaviour;no;indirectly;;
RFID monitoring indicates honeybees work harder before a rainy day;He et al;2016;Insect Science;10.1111/1744-7917.12298;WoS;Apis mellifera;Hymenoptera;Apidae;colony;0;DD; Nanchang, China.;Asia;subtropical;12.5;Flying;RFID;thorax;dorsal;behaviour;300;apiary;workers;34 days;not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
A stag beetle's life: sex-related differences in daily activity and behaviour of Lucanus cervus (Coleoptera: Lucanidae);Tini et al;2017;Journal of Insect Conservation;10.1007/s10841-017-0029-5;WoS;Lucanus cervus;Coleoptera;Lucanidae;decline (Europe), Annex 2 european habitat directive;0;LC;Nature Reserve Bosco della Fontana, Marmirolo, Mantua, Lombardy, Italy, Europe;Europe;Temperate;43;crawling + Flying;radio telemetry;pronotum;dorsal;behaviour;55;natural field conditions;no;13-22 days;no;yes;4.30;yes;310;yes;23;yes;no;NA;no;no;;
"
Detection of stag beetle oviposition sites by combining telemetry and emergence traps";Tini et al;2017;Nature Conservation Bulgaria;10.3897/natureconservation.19.12678;WoS;Lucanus cervus;Coleoptera;Lucanidae;near threatened (Europe), Annex 2 european habitat directive;0;NT;Marmirolo, Mantua, Lombardy, Italy, Europe;Europe;Temperate;43;crawling + Flying;radio telemetry;pronotum;dorsal;movement;12;natural field conditions;females;lifetime;not mentioned;yes;2.95;yes;310;yes;18;yes;no;refer;no;no;Refer to Boiteau and Colpitts (2001) (erronously);
Continuous Radar Tracking Illustrates the Development of Multi-destination Routes of Bumblebees;Woodgate et al;2017;Scientific Reports;10.1038/s41598-017-17553-1;WoS;Bombus terrestris;Hymenoptera;Apidae;NA;0;LC;Hertfordshire, UK, Europe;Europe;Temperate;14;Flying;scanning harmonic radar;thorax;dorsal;movement;6;commercial nest in field;workers;1 - 2 days / bee;not mentioned;yes;0.19;yes;15;yes;9;yes;no;pollen load + established protocol;no;no;Refer to Riley et al (1996);
Flight behaviour of honey bee (Apis mellifera) workers is altered by initial infections of the fungal parasite Nosema apis;Dosselli et al;2016;Scientific Reports;10.1038/srep36649;WoS;Apis mellifera;Hymenoptera;Apidae;colony;0;DD;Crawley, West-Australia, Australia;Australia;subtropical;12.5;Flying;RFID;thorax;dorsal;movement;600;apiary;workers;11 days;not mentioned;no;NA;no;NA;no;NA;no;NA;established protocol;no;no;;
Radio-Tracking Suggests High Dispersal Ability of the Great Capricorn Beetle (Cerambyx cerdo);Drag and Cizek;2018;Journal of Insect Behaviour;10.1007/s10905-018-9669-x;WoS;Cerambyx cerdo;Coleoptera;Cerambycidae;Endangered (Pest in mediterannean);0;NT;Moravia, Czech Republic, Europe;Europe;Temperate;39;Flying;radio telemetry;pronotum;dorsal;dispersal;26;natural field conditions;no;4-17 days, until signal stopped and not retrieved;no;yes;2.90;yes;290;yes;11;yes;no;refer + normal behaviour;no;indirectly;Refer to Kissling et al (2014);
"
Successful use of radiotransmitters in tracking male tree weta Hemideina crassidens (Orthoptera: Tettigonioidea: Anostostomatidae)";Gwynne and Kelly;2018;New Zealand Entomologist;10.1080/00779962.2018.1501138;WoS;Hemideina crassidens;Orthoptera;Anostostomatidae;NA;0;NE;Te Pakeka/Maud Island, New Zealand;New Zealand;Temperate;100;crawling + climbing;radio telemetry;pronotum;dorsal;testing techique;7;natural field conditions;male;several days (1-5 days) - lifetime;not mentioned;yes;3.58;yes;200;no;NA;yes;maybe;refer + normal behaviour;no;no;Refer to Kelly et al. (2008, 2010).;
A pilot Radio Telemetry field study on triatomine vectors (Hemiptera: Reduviidae) of the Chagas disease parasite;Hamer et al;2018;Journal of Medical Entomology;10.1093/jme/tjy094;WoS;Triatoma gerstaeckeri, Triatoma sanguisuga;Hemiptera, Hemiptera;Reduviidae, Reduviidae;vectors of Chagas disease;pest, pest;NE, NE;Uvalde, Brazos & Hidalgo counties, Texas, USA;North America;Arid;25, 25;crawling + Flying, crawling + Flying;radio telemetry;first pronotom, afterwards dorsal side of abdomen, first pronotom, afterwards dorsal side of abdomen;dorsal;movement;9, 2;natural field conditions;no;1-12 days, until animal died, battery died or signal lost: so lifetime;no;yes;0.25, 0.178;yes;200, 200;yes;82.9, 112.3;yes;no, no;food load + refer;no;yes;Refer to Hayashi and Nakane (1989), Rink and Sinsch (2007), Hagen et al. (2011), Kissling et al. (2014).;
"Searching for nests of the invasive Asian hornet
(Vespa velutina) using radio-telemetry";Kennedy et al;2018;Communications Biology;10.1038/s42003-018-0092-9;WoS;Vespa velutina;Hymenoptera;Vespidae;NA;pest;NE;Bordeux, France, Europe;Europe;Temperate;20;Flying;radio telemetry;ventral side between abdomen and thorax;ventral;locating nests;47;flight cage and natural field conditions;(large)workers;3 days;destroyed;yes;0.38;yes;350;yes;80;yes;yes;normal behaviour + correlation with weight-ratio;no;no;;
Behavioural response of the invasive Halyomorpha halys (Hemiptera: Pentatomidae) to host plant stimuli augmented with semiochemicals in the field;Morrison et el;2018;Agricultural and Forest Entomology;10.1111/afe.12229;WoS;Halyomorpha halys;Hemiptera;Pentatomidae;invasive species, agricultural pest;pest;NE;Western USA (collected in Maryland and Virginia  - housed in lab in WestVirginia;North America;Temperate;17;crawling + Flying;portable harmonic radar;pronotum;dorsal;testing techique;336;field experiment;no;24h;not mentioned;no;NA;no;NA;no;NA;yes;no;refer;no;no;Refer to Lee et al. (2013, 2014), Morrison et al. (2016), Blaauw et al. (2017).;
Investigating the impacts of field-realistic exposure to a neonicotinoid pesticide on bumblebee foraging, homing ability and colony growth;Stanley et al;2016;Journal of Applied Ecology;10.1111/1365-2664.12689;WoS;Bombus terrestris;Hymenoptera;Apidae;Commercial colony;0;LC;London, England, Europe;Europe;Temperate;14;Flying;RFID;thorax;dorsal;pesticide effect;951;commercial nest in field;workers;not clear how long individuals had tags. 5 - 43 days of exposure to pesticide , some bees 27 days of foraging (so 27 days?);not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Thiamethoxam: Assessing flight activity of honeybees foraging on treated oilseed rape using radio frequency identification technology;Thompson et al;2016;Environmental Toxicology and Chemistry;10.1002/etc.3183;WoS;Apis mellifera;Hymenoptera;Apidae;not mentioned;0;DD;Lincolnshire, UK, Europe;Europe;Temperate;12.5;Flying;RFID;dorsal thorax;dorsal;pesticide effect;1638;field experiment;workers;5 weeks, lifetime;no;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Movement activity and habitat use of Carabus ullrichii (Coleoptera: Carabidae): The forest edge as a mating site?;Ruzickova and Vesely;2018;Entomological Science;10.1111/ens.12286;WoS;Carabus ulrichii;Coleoptera;Carabidae;abundant;0;NE;Central Moravia, Czech Republic, Europe;Europe;Temperate;28;crawling;radio telemetry;elytra;dorsal;movement;21;natural field conditions;no;17 days, located until signal was lost;no;yes;1.50;yes;300;yes;33;no;NA;NA;no;no;;
Improving Our Understanding of the Behavior of Bees Through Anomaly Detection Techniques;Gama et al;2017;International conference on Artificial Neural Networks;10.1007/978-3-319-68612-7_59;WoS;Melipona fasciculata;Hymenoptera;Apidae;NA;0;NE;Bel´em, PA, Brazil;South America;Tropical;10;Flying;RFID;thorax;dorsal;testing techique;1280;apiary;workers;30 days;not mentioned;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Dispersal behaviour of female stag beetles (Lucanus cervus) in a mosaic landscape: when should I stay and where should I go;Thomaes et al;2018;Insect Conservation and Diveristy;10.1111/icad.12325;WoS;Lucanus cervus;Coleoptera;Lucanidae;near threatened (Europe), Annex 2 european habitat directive;0;NT;Vroenenbos, Vlaams-Brabant, Belgium;Europe;Temperate;43;crawling + Flying;radio telemetry;pronotum;dorsal;dispersal;12;natural field conditions;Females;until signal lost or, battery dead or ind dead, lifetime, 27 days;not mentioned;yes;2.65;no;NA;yes;14.5;yes;no;correlation distance and weight ratio;no;no;;
Use of space and dispersal ability of a flagship saproxylic insect: a telemetric study of the stag beetle (Lucanus cervus) in a relict lowland forest;Tini et al;2018;Insect Conservation and Diveristy;10.1111/icad.12260;WoS;Lucanus cervus;Coleoptera;Lucanidae;near threatened (Europe), Annex 2 european habitat directive;0;LC;Marmirolo, Mantua, Lombardy, Italy, Europe;Europe;Mediterranean;43;crawling + Flying;radio telemetry;pronotum;dorsal;movement + dispersal;55;natural field conditions;no;13-22 days, lifetime;no;yes;4.30;yes;310;yes;26;yes;no;refer + reasoning;no;no;refer to Boiteau and Colpitts (2001), erronously;
Activity rhythm and action range of workers of the invasive hornet predator of honeybees Vespa velutina, measured by radio frequency identification tags;Poidatz et al;2018;Ecology and Evolution;10.1002/ece3.4182;WoS;Vespa velutina;Hymenoptera;Vespidae;invasive species;pest;NE;Aquitaine, France;Europe;Temperate;20;Flying;RFID;thorax;dorsal;movement;318;artificial nests in field;workers;95 days;not mentioned;yes;0.29;no;NA;no;NA;no;NA;NA;no;no;;
The influence of conopid flies on bumble bee colony productivity under different food resource conditions;Malfi et al;2018;Ecological Monographs;10.1002/ecm.1327;WoS;Bombus impatiens;Hymenoptera;Apidae;Wild colony;0;LC;Blandy experimental form, Virginia, USA;North America;Temperate;12;Flying;RFID;not mentioned;NA;disease effect;NA;natural field conditions;workers;several days;not mentioned, but most likely no;no;NA;no;NA;no;NA;no;NA;NA;no;no;;
Telemetry reveals the habitat selected by immature dragonflies: implications for conservation of the threatened dragonfly Leucorrhinia caudalis (Odonata: Anisoptera);LeNaour et al.;2019;Journal of Insect Conservation;10.1007/s10841-018-00123-9;WoS;Leucorrhinia caudalis ;Odonata;Libellulidae;threatened, decreasing;0;LC;Centre-Loire Valley, France;Europe;Temperate;35;Flying;portable harmonic radar;dorsal abdomen, third segment;dorsal;conservation;62;natural field conditions;so ratio tag/mass < 10%;lifetime;no;yes;0.180;yes;16.5;yes;10;yes;no;reasoning;no;indirectly;;
Radio telemetry helps record the dispersal patterns of birdwing butterflies in mountainous habitats: Golden Birdwing (Troides aeacus) as an example;Wang et al;2019;Journal of Insect Conservation;10.1007/s10841-019-00167-5;WoS;Troides aeacus;Lepidoptera;Papilionidae;protected, CITES, flagship species;0;LC;Mt gongga, China;Asia;subtropical;140;Flying;radio telemetry;anterior dorsal side of abdomen;dorsal;movement;10;natural field conditions;no;4 days;no;yes;1.00;yes;220;yes;20;yes;no;refer + reasoning;no;no;;
Traces of a Neonicotinoid Induce Precocious Foraging and Reduce Foraging Performance in Honey Bees;Collin et al;2019;Environmental Science & Technology;10.1021/acs.est.9b02452;WoS;Apis mellifera;Hymenoptera;Apidae;economically important;0;DD;sydney, Australia;Australia;subtropical;12.5;Flying;RFID;thorax;dorsal;pesticide effect;1180;apiary;workers;lifetime;no;no;NA;no;NA;no;NA;no;no;qualitative looking at direction of walking, some could not fly because of the glue on the wings;no;no;;
Radio-tracking reveals how wind and temperature influence the pace of daytime insect migration;Knight et al;2019;Biology Letters;10.1098/rsbl.2019.0327;WoS;Danaus plexippus, Anax junius;Lepidoptera, Odonata;Nymphalidae, Aeshnidae;migrating insects;0, 0;NE, LC;Canada and USA;North America;temperate;95, 76;Flying, Flying;radio telemetry;ventral abomen, ventral thorax;ventral, ventral;migration;43, 38;natural field conditions;insects weighing more than 0.45g;one month;not mentioned, but most likely no;yes;0.45, 0.45;yes;250, 250;yes;49, 49;yes;maybe, maybe;reasoning;no;yes;;
Strong Interspecific Differences in Foraging Activity Observed Between Honey Bees and Bumble Bees Using Miniaturized Radio Frequency Identification (RFID);Minahan and Brunet;2018;Frontiers in ecology and evolution;10.3389/fevo.2018.00156;WoS;Apis mellifera, Bombus impatiens;Hymenoptera, Hymenoptera;Apidae, Apidae;decline;0, 0;DD, LC;Madison, WI, USA;North America;Temperate;12.5, 12;Flying, Flying;RFID;thorax, thorax;dorsal;behaviour;70, 20;natural field conditions;foragers;3 months;not mentioned, but most likely no;no;NA, NA;no;NA, NA;no;NA, NA;no;NA, NA;NA;no;no;;
Characterizing and Simulating the Movement of Late-Instar Gypsy Moth (Lepidoptera: Erebidae) to Evaluate the Effectiveness of Regulatory Practices;Wittman et al;2019;Environmental Entomology;10.1093/ee/nvz025;WoS;Lymantria dispar;Lepidoptera;Erebidae;invasive;pest;NE;wisconsin, USA;North America;temperate;25;Digging larvae;portable harmonic radar;abdomen;NA;movement;274;field experiment;larvae;10h;yes;no;NA;yes;0.3;yes;0.1;yes;no;refer + reasoning;no;no;Refer to Riley et al. (1996), Capaldi et al. (2000), Brazee et al. (2005), Cant et al. (2005), Boiteau et al. (2010), Gui et al. (2011);
Harmonic radar tracking reveals random dispersal pattern of bumblebee (Bombus terrestris) queens after hibernation;Makinson et al ;2019;Scientific Reports;10.1038/s41598-019-40355-6;WoS;Bombus terrestris;Hymenoptera;Apidae;under pressure;0;LC;Rothamsted Research, Herfordshire, UK;Europe;Temperate;14;Flying;scanning harmonic radar;thorax;dorsal;dispersal;20;commercial nest in field;queens;5 days;no;yes;0.8;yes;15;yes;3;yes;no;qualitativiley looking at behaviour, reasoning + refer;no;no;;
Evaluating the efficacy of two insect detection methods with Riptortus pedestris (Hemiptera: Alydidae): portable harmonic radar system and fluorescent marking system;Kho et al;2019;Pest management science;10.1002/ps.5106;WoS;Riptortus pedestris;Hemiptera;Alydidae;pest, invasive;pest;NE;South Korea, Asia;Asia;Temperate;17;crawling + Flying;portable harmonic radar;pronotum;dorsal;comparing technique;60;lab arena;no;not clear;not mentioned;yes;0.041;yes;3;no;NA;yes;no;refer;no;no;;
A technique for individually identifying tarantulas using Passive Integrated Transponders;Reichling and Tabaka;2001;Journal of Arachnology;10.1636/0161-8202(2001)029[0117:ATFIIT]2.0.CO,2;WoS;Aphonopelma baergi, Brachypelma albopilosum, Grammostola pulchra;Araneae, Araneae, Araneae;Theraphosidae, Theraphosidae, Theraphosidae;not mentioned;0, 0, 0;NE, LC, NE;Memphis Zoo, USA;North America;Arid;43, 57, 64;crawling, crawling, crawling;RFID;internal;internal;testing techique;12;artificial nests in field;no;lifetime;no;no;NA, NA, NA;no;NA, NA, NA;no;NA, NA, NA;no;no, no, no;NA;no;no;;
An Innovative Harmonic Radar to Track Flying Insects: the Case of Vespa velutina;Maggiora et al;2019;Scientific Reports;10.1038/s41598-019-48511-8;WoS;Vespa velutina;Hymenoptera;Vespidae;invasive species;pest;NE;Liguria, Italy;Europe;Temperate;20;Flying;scanning harmonic radar;thorax;dorsal;development;89;natural field conditions;workers;1 day;not mentioned;no;NA;yes;15;no;NA;yes;no;discuss;no;no;;
